Aquarius,2015,16,7.1,6.8,1,0,0,0
Firefly Lane,2021,18,7.4,6.7,1,0,0,0
White Gold,2017,18,7.4,6.7,1,0,0,0
Hyperdrive,2019,7,8.1,6.7,1,0,1,0
BEASTARS,2019,18,7.8,6.7,1,0,0,0
Kill la Kill,2013,18,7.9,6.7,1,0,0,0
Down to Earth with Zac Efron,2020,7,8.1,6.7,1,0,0,0
Ancient Aliens,2010,7,7.2,6.7,1,1,1,0
Slasher,2016,18,6.7,6.7,1,0,0,0
Time: The Kalief Browder Story,2017,16,8.5,6.7,1,0,0,0
Away,2020,16,6.6,6.7,1,0,0,0
No Tomorrow,2016,7,7.3,6.7,1,0,0,0
Locked Up,2015,18,8.2,6.7,1,0,0,0
The Frankenstein Chronicles,2015,16,7.3,6.7,1,0,0,0
The Ranch,2016,16,7.5,6.7,1,0,0,0
Cursed,2020,18,5.9,6.7,1,0,0,0
Wu Assassins,2019,18,6.5,6.7,1,0,0,0
Mr. Sunshine,2018,18,8.8,6.7,1,0,0,0
The Unicorn,2019,7,7.2,6.7,1,1,0,0
Anohana: The Flower We Saw That Day,2011,16,8.2,6.7,1,0,0,0
The Challenge,1998,16,7.7,6.7,1,1,1,0
Gypsy,2017,18,6.8,6.7,1,0,0,0
Fuller House,2016,7,6.7,6.7,1,0,0,0
Killer Inside: The Mind of Aaron Hernandez,2020,18,7.4,6.7,1,0,0,0
RESIDENT EVIL: Infinite Darkness,2021,18,5.8,6.7,1,0,0,0
1983,2018,18,6.8,6.7,1,0,0,0
Wet Hot American Summer: First Day of Camp,2015,16,7.4,6.7,1,0,0,0
The Baker and the Beauty,2020,16,7.4,6.7,1,0,1,0
Spinning Out,2020,18,7.6,6.7,1,0,0,0
Trinkets,2019,18,7.1,6.7,1,0,0,0
Insatiable,2018,18,6.5,6.7,1,0,0,0
The Chalet,2018,18,7,6.7,1,0,0,0
We Bare Bears,2015,7,7.9,6.7,1,1,0,0
Gurren Lagann,2007,16,8.3,6.6,1,0,0,0
Friends from College,2017,18,6.9,6.6,1,0,0,0
Jericho,2006,16,7.3,6.6,1,0,0,0
Tidelands,2018,18,7,6.6,1,0,0,0
Dear White People,2017,18,6.2,6.6,1,1,0,0
Dare Me,2019,18,6.7,6.6,1,0,0,0
Ouran High School Host Club,2006,16,8.2,6.6,1,1,0,0
Scooby-Doo! Mystery Incorporated,2010,7,8,6.6,1,0,0,0
The Untamed,2019,16,9,6.6,1,0,0,0
Stranger,2017,18,8.6,6.6,1,0,0,0
El Chapo,2017,18,7.8,6.6,1,0,0,0
Great News,2017,7,7,6.6,1,0,0,0
The Get Down,2016,16,8.3,6.6,1,0,0,0
The Naked Director,2019,18,7.7,6.6,1,0,0,0
Rise of Empires: Ottoman,2020,18,7.9,6.6,1,0,0,0
Club de Cuervos,2015,18,8.2,6.6,1,0,0,0
Toradora!,2008,16,8,6.6,1,0,1,0
The Baby-Sitters Club,2020,7,7.4,6.6,1,0,1,0
Carole & Tuesday,2019,7,7.9,6.6,1,0,0,0
Van Helsing,2016,16,6.2,6.6,1,0,0,0
The Night Shift,2014,16,7.4,6.6,1,0,0,0
No Game No Life,2014,16,7.8,6.6,1,0,0,0
The King: Eternal Monarch,2020,16,8.3,6.6,1,0,0,0
Eden,2021,7,6.7,6.5,1,0,1,0
Stateless,2020,16,7.6,6.5,1,0,0,0
High Score,2020,16,7.4,6.5,1,0,0,0
Dash & Lily,2020,7,8,6.5,1,0,0,0
The Confession Tapes,2017,16,7.5,6.5,1,0,0,0
Black Butler,2008,18,7.8,6.5,1,1,0,0
The Rain,2018,18,6.3,6.5,1,0,0,0
Love Is Blind,2020,18,6.1,6.5,1,0,1,0
Trial by Media,2020,16,7.2,6.5,1,0,0,0
Wormwood,2017,16,7,6.5,1,0,0,0
Fear City: New York vs The Mafia,2020,18,7.1,6.5,1,0,0,0
Sorjonen,2016,18,7.6,6.5,1,0,0,0
Forged in Fire,2015,7,8.4,6.5,1,1,1,0
Baby,2018,18,6.8,6.5,1,0,0,0
The Disastrous Life of Saiki K.,2016,16,8.3,6.5,1,0,0,0
The Innocence Files,2020,18,8,6.5,1,0,0,0
BNA,2020,16,7.2,6.5,1,0,0,0
The Mist,2017,16,5.4,6.5,1,0,0,0
Halston,2021,18,7.5,6.5,1,0,1,0
The Universe,2007,16,8.7,6.5,1,0,1,0
Self Made: Inspired by the Life of Madam C.J. Walker,2020,18,7.3,6.5,1,0,0,0
Shtisel,2013,16,8.6,6.5,1,0,0,0
The Boss Baby: Back in Business,2018,7,6.5,6.5,1,0,0,0
Puella Magi Madoka Magica,2011,16,8.3,6.5,1,1,0,0
Sinatra: All or Nothing at All,2015,7,8,6.5,1,0,0,0
Comedians in Cars Getting Coffee,2012,16,8.1,6.5,1,0,0,0
Senora Acero,2014,16,7.1,6.5,1,1,0,0
Dark Tourist,2018,18,7.5,6.5,1,0,0,0
Criminal: UK,2019,18,7.6,6.5,1,0,0,0
The Bureau of Magical Things,2018,7,6.7,6.5,1,0,0,0
Cleverman,2016,16,6.4,6.5,1,0,0,0
The Innocent Man,2018,18,7.3,6.5,1,0,0,0
Norsemen,2016,18,7.8,6.5,1,0,0,0
Pawn Stars,2009,7,7.2,6.5,1,1,1,0
Inside Bill's Brain: Decoding Bill Gates,2019,16,7.9,6.5,1,0,0,0
Damnation,2017,18,7.7,6.5,1,0,0,0
From Dusk Till Dawn: The Series,2014,18,6.9,6.4,1,0,0,0
Lovesick,2014,18,8.1,6.4,1,0,0,0
Flint Town,2018,18,7.9,6.4,1,0,0,0
Watership Down,2018,7,7.2,6.4,1,0,0,0
Undercover,2019,18,7.8,6.4,1,0,1,0
Rita,2012,16,8.1,6.4,1,0,0,0
Dorohedoro,2020,18,8.2,6.4,1,0,0,0
Maid Sama!,2010,16,8,6.4,1,1,0,0
Mystery Science Theater 3000: The Return,2017,16,8,6.4,1,0,0,0
Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,16,7.4,6.4,1,1,0,0
Surviving R. Kelly,2019,18,7.5,6.4,1,0,0,0
Saint Seiya,1986,7,8.5,6.4,1,0,1,0
Flaked,2016,18,7.2,6.4,1,0,0,0
Fate/Zero,2011,18,8.3,6.4,1,0,0,0
Crazyhead,2016,16,7.3,6.4,1,0,0,0
The Five,2016,7,7.6,6.4,1,0,0,0
Requiem,2018,18,6.5,6.4,1,0,0,0
The Valhalla Murders,2019,18,7.1,6.4,1,0,0,0
Cardcaptor Sakura,1998,7,8,6.4,1,0,0,0
Black Earth Rising,2018,16,7.5,6.4,1,0,0,0
W/ Bob & David,2015,18,7.4,6.4,1,0,0,0
The Trials of Gabriel Fernandez,2020,18,8.1,6.4,1,0,0,0
She's Gotta Have It,2017,18,6.8,6.4,1,0,0,0
Save Me,2018,16,7.7,6.4,1,0,0,0
The Curse of Oak Island,2014,7,7,6.4,1,1,0,0
Black,2017,16,8,6.3,1,0,0,0
Ajin,2016,18,7.6,6.3,1,0,0,0
Ink Master,2012,16,7.4,6.3,1,0,0,0
Vampire Knight,2008,16,7.4,6.3,1,1,0,0
Angel Beats!,2010,16,7.7,6.3,1,0,0,0
Green Eggs and Ham,2019,7,8.2,6.3,1,0,0,0
The Hollow,2018,7,7.2,6.3,1,0,0,0
November 13: Attack on Paris,2018,18,8.3,6.3,1,0,0,0
It's Bruno!,2019,7,7.5,6.3,1,0,0,0
Wanted,2016,16,7.7,6.3,1,0,0,0
Masum,2017,16,8.4,6.3,1,0,0,0
Cable Girls,2017,18,7.6,6.3,1,0,0,0
Lady Dynamite,2016,16,7.4,6.3,1,0,0,0
Power Rangers,1993,7,6.5,6.3,1,0,1,0
The Mire,2018,18,6.9,6.3,1,0,0,0
Tabula Rasa,2017,18,8,6.3,1,0,0,0
Clannad,2007,7,7.9,6.3,1,1,0,0
Ugly Delicious,2018,18,7.8,6.3,1,0,0,0
Fate/stay night [Unlimited Blade Works],2014,18,8,6.3,1,1,0,0
Man with a Plan,2016,7,7,6.3,1,0,0,0
Rilakkuma and Kaoru,2019,7,8.3,6.3,1,0,0,0
World War II In HD Colour,2009,7,8.7,6.3,1,0,0,0
Boys Over Flowers,2009,16,7.9,6.3,1,1,0,0
Meteor Garden,2018,16,8.1,6.3,1,0,0,0
Sick Note,2017,18,6.8,6.3,1,0,0,0
Girlboss,2017,18,7,6.3,1,0,0,0
Quicksand,2019,18,7.5,6.3,1,0,0,0
Rotten,2018,18,7.2,6.3,1,0,0,0
The Irregulars,2021,18,5.9,6.3,1,0,0,0
College Romance,2018,18,8.8,6.3,1,0,0,0
Elite Short Stories: Carla Samuel,2021,18,7,6.3,1,0,0,0
Bard of Blood,2019,18,6.9,6.3,1,0,0,0
Charmed,2018,16,4.6,6.2,1,0,0,0
The New Legends of Monkey,2018,7,6.5,6.2,1,0,0,0
Fast & Furious Spy Racers,2019,7,5.5,6.2,1,0,0,0
Occupied,2015,16,7.7,6.2,1,0,0,0
Toast of London,2013,16,8.2,6.2,1,0,0,0
Patriot Act with Hasan Minhaj,2018,18,8.3,6.2,1,0,0,0
Greatest Events of World War II in Colour,2019,16,8.7,6.2,1,0,0,0
Offspring,2010,16,8.3,6.2,1,0,0,0
Blown Away,2019,7,7.1,6.2,1,0,0,0
60 Days In,2016,16,7.7,6.2,1,1,1,0
